employee_id,department_id,first_name,last_name,gender,date_of_birth,marital_status,distance_from_home,education_level,education_field,hire_date,job_role,job_level,base_salary,overtime_eligible,stock_option_level,total_working_years,num_companies_worked,business_travel,is_active
1,DPT-002,Danielle,Williams,Male,1973-01-01,Married,9,3,Marketing,2022-01-01,R&D Director,5,18543,True,1,27,4,Rarely,True
2,DPT-007,Angel,Rosales,Male,1994-01-01,Married,13,2,Other,2019-01-01,Operations Analyst,2,3848,True,1,10,4,Rarely,True
3,DPT-005,Joshua,Rodgers,Male,2001-01-01,Married,3,4,Life Sciences,2023-01-01,IT Support,1,2882,True,1,1,0,Frequently,False
4,DPT-005,Jeffrey,Hogan,Male,1982-01-01,Single,5,3,Life Sciences,2020-01-01,Software Engineer,2,7190,False,0,11,3,Rarely,True
5,DPT-001,Jill,Watson,Male,1988-01-01,Married,28,3,Life Sciences,2013-01-01,Sales Executive,2,3407,False,2,10,1,Rarely,True
6,DPT-001,Erica,Kelly,Male,1990-01-01,Married,28,4,Life Sciences,2008-01-01,Sales Executive,2,4973,True,1,15,1,Rarely,True
7,DPT-001,Patricia,Hunter,Male,1974-01-01,Married,5,4,Technical Degree,2020-01-01,Sales Executive,2,6465,False,1,20,2,Rarely,True
8,DPT-007,Christopher,Allen,Male,1990-01-01,Married,22,2,Marketing,2016-01-01,Operations Analyst,2,5989,False,1,8,0,Non-Travel,True
9,DPT-005,Robert,Roberts,Female,1982-01-01,Married,2,5,Life Sciences,2005-01-01,IT Manager,4,16325,False,1,22,7,Rarely,True
10,DPT-005,Anthony,Baker,Female,2000-01-01,Single,4,1,Medical,2020-01-01,IT Support,1,3144,False,0,3,1,Rarely,True
11,DPT-001,Jeffery,Sanchez,Female,1980-01-01,Divorced,10,4,Life Sciences,2014-01-01,Sales Executive,2,5469,False,1,9,1,Frequently,True
12,DPT-007,William,Bird,Male,1972-01-01,Married,9,4,Life Sciences,2019-01-01,Operations Asst,1,2078,False,2,10,3,Rarely,True
13,DPT-006,Anthony,Mcbride,Male,1970-01-01,Single,24,4,Life Sciences,2021-01-01,Senior Marketer,3,10626,True,0,15,6,Rarely,False
14,DPT-002,James,Pena,Female,1988-01-01,Single,10,4,Medical,2018-01-01,Research Scientist,2,5876,True,0,10,3,Rarely,True
15,DPT-001,Debra,Henderson,Female,1999-01-01,Married,17,2,Life Sciences,2022-01-01,Sales Representative,1,2111,False,1,1,1,Rarely,False
16,DPT-001,Amy,Sanchez,Female,1980-01-01,Single,28,3,Medical,2020-01-01,Sales Representative,1,4779,False,0,18,4,Frequently,True
17,DPT-002,Jeffrey,Mckay,Male,1994-01-01,Single,24,2,Life Sciences,2022-01-01,Lab Technician,1,2533,True,0,1,1,Frequently,False
18,DPT-004,Bridget,Mcintyre,Female,1997-01-01,Divorced,1,1,Medical,2018-01-01,Financial Clerk,1,2012,False,2,5,1,Frequently,True
19,DPT-003,Lisa,Hancock,Female,1994-01-01,Divorced,10,1,Marketing,2016-01-01,HR Generalist,2,8580,True,2,7,1,Rarely,True
20,DPT-002,Adam,Anderson,Male,1984-01-01,Single,9,3,Life Sciences,2017-01-01,R&D Director,5,20035,False,0,21,2,Non-Travel,True
21,DPT-005,Linda,Jenkins,Female,1978-01-01,Married,9,4,Life Sciences,2008-01-01,Software Engineer,2,5355,False,1,15,1,Non-Travel,True
22,DPT-001,Helen,Riggs,Male,1993-01-01,Single,4,3,Technical Degree,2022-01-01,Sales Representative,1,2216,True,0,3,9,Frequently,False
23,DPT-002,Matthew,Welch,Male,1988-01-01,Single,2,4,Medical,2018-01-01,Lab Technician,1,5007,True,0,6,0,Frequently,True
24,DPT-002,Eric,Sexton,Female,1968-01-01,Married,2,2,Medical,2004-01-01,R&D Director,5,19078,False,1,23,4,Rarely,True
25,DPT-004,Susan,Lambert,Female,1988-01-01,Divorced,22,3,Life Sciences,2016-01-01,Senior Analyst,3,11744,False,1,10,7,Rarely,True
26,DPT-006,Matthew,Smith,Female,1969-01-01,Married,22,5,Medical,2013-01-01,Marketing Manager,4,17284,False,1,36,3,Rarely,True
27,DPT-001,Christopher,Rubio,Female,1982-01-01,Single,2,4,Other,2015-01-01,Sales Executive,2,6773,True,0,10,2,Non-Travel,True
28,DPT-004,Colin,Green,Female,1995-01-01,Married,3,3,Medical,2022-01-01,Financial Clerk,1,2973,False,1,1,1,Rarely,True
29,DPT-005,Melanie,Johnson,Male,1987-01-01,Single,9,4,Life Sciences,2018-01-01,IT Support,1,3271,False,0,10,7,Rarely,False
30,DPT-001,Cassandra,Key,Male,1994-01-01,Single,15,3,Life Sciences,2017-01-01,Sales Representative,1,2288,False,0,6,1,Rarely,True
31,DPT-005,Lindsay,Doyle,Male,1985-01-01,Single,3,4,Life Sciences,2022-01-01,Software Engineer,2,6886,True,0,19,8,Rarely,True
32,DPT-001,Jessica,Jones,Male,2003-01-01,Single,3,3,Life Sciences,2021-01-01,Sales Representative,1,3093,False,0,2,1,Rarely,True
33,DPT-001,Amanda,Fitzgerald,Male,1999-01-01,Married,23,3,Medical,2017-01-01,Sales Representative,1,2760,True,2,6,1,Rarely,True
34,DPT-007,Teresa,Briggs,Male,2000-01-01,Single,20,1,Life Sciences,2019-01-01,Operations Analyst,2,2372,False,0,5,0,Rarely,True
35,DPT-007,Nicholas,Richards,Male,1969-01-01,Married,19,4,Medical,2014-01-01,Senior Analyst,3,11042,False,1,16,2,Rarely,True
36,DPT-006,Andrea,Molina,Male,1971-01-01,Married,1,2,Life Sciences,2014-01-01,Marketing Manager,4,17196,False,1,26,2,Rarely,True
37,DPT-002,Maria,Ward,Male,1968-01-01,Single,13,4,Marketing,2004-01-01,R&D Manager,4,13304,True,0,24,6,Rarely,False
38,DPT-001,Christine,Fisher,Female,1972-01-01,Single,3,3,Medical,2016-01-01,Sales Manager,4,13666,False,0,21,3,Rarely,True
39,DPT-005,Michelle,Miller,Male,1983-01-01,Divorced,16,2,Life Sciences,2019-01-01,IT Support,1,3612,False,1,6,9,Non-Travel,True
40,DPT-003,Barbara,Norris,Male,1982-01-01,Single,6,3,Medical,2005-01-01,HR Assistant,1,4880,True,0,20,2,Rarely,True
41,DPT-001,Janet,Harper,Male,1983-01-01,Divorced,16,2,Life Sciences,2019-01-01,Sales Representative,1,3706,False,1,6,9,Non-Travel,True
42,DPT-004,Brandon,Bradley,Male,1990-01-01,Single,1,4,Other,2013-01-01,Financial Clerk,1,2714,True,0,10,1,Rarely,False
43,DPT-001,Jeremy,Fitzgerald,Male,1989-01-01,Divorced,10,3,Life Sciences,2008-01-01,Sales Executive,2,4011,True,1,15,1,Non-Travel,True
44,DPT-007,Keith,Bass,Male,1992-01-01,Married,15,3,Medical,2021-01-01,Operations Asst,1,2484,False,1,2,1,Frequently,False
45,DPT-002,Christopher,Chaney,Female,1976-01-01,Married,26,4,Life Sciences,2018-01-01,R&D Director,5,18816,False,1,27,3,Rarely,True
46,DPT-005,Jesse,Miller,Male,1970-01-01,Married,8,3,Marketing,2021-01-01,IT Manager,4,11428,False,1,28,5,Rarely,True
47,DPT-002,Craig,Garcia,Female,1999-01-01,Divorced,11,2,Other,2019-01-01,Research Scientist,2,3832,False,1,5,0,Non-Travel,True
48,DPT-004,Joshua,Tanner,Male,1988-01-01,Married,1,4,Medical,2015-01-01,Financial Clerk,1,2235,False,1,10,6,Rarely,True
49,DPT-004,Cynthia,Shaw,Male,1982-01-01,Divorced,14,3,Life Sciences,2014-01-01,Financial Clerk,1,2411,False,1,13,4,Rarely,True
50,DPT-001,Michael,Curry,Female,1997-01-01,Married,20,2,Medical,2018-01-01,Sales Representative,1,2177,True,0,6,0,Rarely,False
51,DPT-007,Mitchell,West,Female,1983-01-01,Divorced,2,2,Marketing,2018-01-01,Operations Analyst,2,5735,False,2,8,7,Rarely,True
52,DPT-006,Jason,Hickman,Female,1991-01-01,Married,4,3,Life Sciences,2009-01-01,Marketing Specialist,2,6221,False,1,14,1,Rarely,True
53,DPT-007,Joseph,Morales,Female,1980-01-01,Single,10,4,Life Sciences,2015-01-01,Operations Asst,1,2448,False,0,9,0,Frequently,True
54,DPT-007,Sharon,Jones,Male,1989-01-01,Divorced,19,2,Medical,2021-01-01,Operations Asst,1,2601,False,1,3,0,Rarely,True
55,DPT-005,Deborah,Cross,Male,1991-01-01,Married,26,4,Marketing,2020-01-01,Software Engineer,2,4667,False,0,4,0,Non-Travel,True
56,DPT-007,Chelsea,Ruiz,Female,2003-01-01,Single,9,3,Marketing,2021-01-01,Operations Asst,1,2226,True,0,2,1,Frequently,False
57,DPT-001,George,Coleman,Female,1995-01-01,Single,13,2,Marketing,2021-01-01,Sales Executive,2,10286,True,0,6,3,Rarely,False
58,DPT-001,Jessica,Davis,Male,1978-01-01,Single,2,2,Technical Degree,2015-01-01,Sales Executive,2,6506,False,0,9,0,Rarely,True
59,DPT-001,Frank,Day,Female,1964-01-01,Single,3,3,Life Sciences,2017-01-01,Sales Executive,2,5177,False,0,13,5,Rarely,True
60,DPT-002,Noah,Wong,Male,1990-01-01,Single,10,4,Marketing,2013-01-01,Research Scientist,2,5272,False,0,10,1,Rarely,True
61,DPT-002,Veronica,Dixon,Male,1972-01-01,Single,21,4,Marketing,2013-01-01,Research Scientist,2,5207,True,0,11,0,Rarely,True
62,DPT-002,Danielle,Caldwell,Male,1995-01-01,Divorced,17,3,Technical Degree,2019-01-01,Lab Technician,1,2350,False,1,6,5,Rarely,False
63,DPT-006,Angela,Ramirez,Female,1968-01-01,Married,2,2,Medical,2004-01-01,CMO,5,19650,False,1,23,4,Rarely,True
64,DPT-002,Gabrielle,Murray,Female,1985-01-01,Married,10,2,Life Sciences,2013-01-01,Research Scientist,2,5219,False,1,10,1,Rarely,True
65,DPT-002,Megan,Silva,Male,1988-01-01,Single,6,4,Life Sciences,2006-01-01,Research Scientist,2,6687,False,0,17,1,Rarely,True
66,DPT-004,Kimberly,Ross,Male,1980-01-01,Divorced,25,3,Medical,2022-01-01,Senior Analyst,3,10558,False,1,18,5,Rarely,True
67,DPT-001,Jeremy,Curtis,Male,1999-01-01,Married,1,3,Medical,2021-01-01,Sales Representative,1,2267,True,1,6,2,Rarely,False
68,DPT-006,Antonio,Casey,Female,1994-01-01,Married,27,3,Marketing,2013-01-01,Senior Marketer,3,7949,False,3,10,1,Rarely,False
69,DPT-001,Leslie,Reyes,Male,1994-01-01,Married,9,3,Life Sciences,2022-01-01,Sales Representative,1,2538,False,2,5,6,Rarely,True
70,DPT-007,Joseph,Mcclure,Female,1998-01-01,Married,2,3,Human Resources,2021-01-01,Operations Asst,1,2190,False,0,6,4,Rarely,True
